Team 1 Team 2,Pred1,Pred2,,Team 2 Team 1,Pred2,Pred1
arizona iowa st.,0.493038773,0.506961227,,iowa st. arizona,0.506961227,0.493038773
arizona kansas,0.171650573,0.828349427,,kansas arizona,0.828349427,0.171650573
arizona kentucky,0.376895995,0.623104005,,kentucky arizona,0.623104005,0.376895995
arizona maryland,0.347800447,0.652199553,,maryland arizona,0.652199553,0.347800447
arizona miami fl,0.165847139,0.834152861,,miami fl arizona,0.834152861,0.165847139
arizona michigan,0.642254675,0.357745325,,michigan arizona,0.357745325,0.642254675
arizona michigan st.,0.29371077,0.70628923,,michigan st. arizona,0.70628923,0.29371077
arizona middle tennessee,0.84041747,0.15958253,,middle tennessee arizona,0.15958253,0.84041747
arizona north carolina,0.25406644,0.74593356,,north carolina arizona,0.74593356,0.25406644
arizona northern iowa,0.817283263,0.182716737,,northern iowa arizona,0.182716737,0.817283263
arizona notre dame,0.407002885,0.592997115,,notre dame arizona,0.592997115,0.407002885
arizona oklahoma,0.257850385,0.742149615,,oklahoma arizona,0.742149615,0.257850385
arizona oregon,0.27970613,0.72029387,,oregon arizona,0.72029387,0.27970613
arizona oregon st.,0.673005962,0.326994038,,oregon st. arizona,0.326994038,0.673005962
arizona pittsburgh,0.486178496,0.513821504,,pittsburgh arizona,0.513821504,0.486178496
arizona providence,0.560853223,0.439146777,,providence arizona,0.439146777,0.560853223
arizona purdue,0.448144029,0.551855971,,purdue arizona,0.551855971,0.448144029
arizona south dakota st.,0.813977083,0.186022917,,south dakota st. arizona,0.186022917,0.813977083
arizona seton hall,0.417111598,0.582888402,,seton hall arizona,0.582888402,0.417111598
arizona stephen f. austin,0.740353811,0.259646189,,stephen f. austin arizona,0.259646189,0.740353811
arizona southern,0.921893034,0.078106966,,southern arizona,0.078106966,0.921893034
arizona saint joseph's,0.583718612,0.416281388,,saint joseph's arizona,0.416281388,0.583718612
arizona stony brook,0.773133493,0.226866507,,stony brook arizona,0.226866507,0.773133493
arizona syracuse,0.635475353,0.364524647,,syracuse arizona,0.364524647,0.635475353
arizona temple,0.697537306,0.302462694,,temple arizona,0.302462694,0.697537306
arizona texas,0.516391475,0.483608525,,texas arizona,0.483608525,0.516391475
arizona texas a&m,0.364855328,0.635144672,,texas a&m arizona,0.635144672,0.364855328
arizona texas tech,0.587532962,0.412467038,,texas tech arizona,0.412467038,0.587532962
arizona tulsa,0.733158674,0.266841326,,tulsa arizona,0.266841326,0.733158674
arizona unc asheville,0.872436607,0.127563393,,unc asheville arizona,0.127563393,0.872436607
arizona unc wilmington,0.752006226,0.247993774,,unc wilmington arizona,0.247993774,0.752006226
arizona usc,0.733133562,0.266866438,,usc arizona,0.266866438,0.733133562
arizona utah,0.2539789,0.7460211,,utah arizona,0.7460211,0.2539789
arizona vcu,0.643791905,0.356208095,,vcu arizona,0.356208095,0.643791905
arizona vanderbilt,0.675586432,0.324413568,,vanderbilt arizona,0.324413568,0.675586432
arizona villanova,0.237758038,0.762241962,,villanova arizona,0.762241962,0.237758038
arizona virginia,0.242411655,0.757588345,,virginia arizona,0.757588345,0.242411655
arizona weber st.,0.869060043,0.130939957,,weber st. arizona,0.130939957,0.869060043
arizona west virginia,0.335841577,0.664158423,,west virginia arizona,0.664158423,0.335841577
arizona green bay,0.789357978,0.210642022,,green bay arizona,0.210642022,0.789357978
arizona wichita st.,0.625856095,0.374143905,,wichita st. arizona,0.374143905,0.625856095
arizona wisconsin,0.569376904,0.430623096,,wisconsin arizona,0.430623096,0.569376904
arizona xavier,0.351788019,0.648211981,,xavier arizona,0.648211981,0.351788019
arizona yale,0.72194366,0.27805634,,yale arizona,0.27805634,0.72194366
arkansas little rock austin peay,0.944230781,0.055769219,,austin peay arkansas little rock,0.055769219,0.944230781
arkansas little rock baylor,0.481572426,0.518427574,,baylor arkansas little rock,0.518427574,0.481572426
arkansas little rock buffalo,0.838602988,0.161397012,,buffalo arkansas little rock,0.161397012,0.838602988
arkansas little rock butler,0.546363129,0.453636871,,butler arkansas little rock,0.453636871,0.546363129
arkansas little rock california,0.645730332,0.354269668,,california arkansas little rock,0.354269668,0.645730332
arkansas little rock chattanooga,0.66466278,0.33533722,,chattanooga arkansas little rock,0.33533722,0.66466278
arkansas little rock cincinnati,0.633015162,0.366984838,,cincinnati arkansas little rock,0.366984838,0.633015162
arkansas little rock colorado,0.692997179,0.307002821,,colorado arkansas little rock,0.307002821,0.692997179
arkansas little rock connecticut,0.507665626,0.492334374,,connecticut arkansas little rock,0.492334374,0.507665626
arkansas little rock cal st. bakersfield,0.856380322,0.143619678,,cal st. bakersfield arkansas little rock,0.143619678,0.856380322
arkansas little rock dayton,0.605848185,0.394151815,,dayton arkansas little rock,0.394151815,0.605848185
arkansas little rock duke,0.396115723,0.603884277,,duke arkansas little rock,0.603884277,0.396115723
arkansas little rock fairleigh dickinson,0.933772648,0.066227352,,fairleigh dickinson arkansas little rock,0.066227352,0.933772648
arkansas little rock florida gulf coast,0.934835584,0.065164416,,florida gulf coast arkansas little rock,0.065164416,0.934835584
arkansas little rock fresno st.,0.662171792,0.337828208,,fresno st. arkansas little rock,0.337828208,0.662171792
arkansas little rock gonzaga,0.521458784,0.478541216,,gonzaga arkansas little rock,0.478541216,0.521458784
arkansas little rock hampton,0.837255834,0.162744166,,hampton arkansas little rock,0.162744166,0.837255834
arkansas little rock hawaii,0.547270981,0.452729019,,hawaii arkansas little rock,0.452729019,0.547270981
arkansas little rock holy cross,0.972801464,0.027198536,,holy cross arkansas little rock,0.027198536,0.972801464
arkansas little rock indiana,0.387722673,0.612277327,,indiana arkansas little rock,0.612277327,0.387722673
arkansas little rock iona,0.757985078,0.242014922,,iona arkansas little rock,0.242014922,0.757985078
arkansas little rock iowa,0.516988938,0.483011062,,iowa arkansas little rock,0.483011062,0.516988938
arkansas little rock iowa st.,0.457445675,0.542554325,,iowa st. arkansas little rock,0.542554325,0.457445675
arkansas little rock kansas,0.147803534,0.852196466,,kansas arkansas little rock,0.852196466,0.147803534
arkansas little rock kentucky,0.30453172,0.69546828,,kentucky arkansas little rock,0.69546828,0.30453172
arkansas little rock maryland,0.320732637,0.679267363,,maryland arkansas little rock,0.679267363,0.320732637
arkansas little rock miami fl,0.175510915,0.824489085,,miami fl arkansas little rock,0.824489085,0.175510915
arkansas little rock michigan,0.620352422,0.379647578,,michigan arkansas little rock,0.379647578,0.620352422
arkansas little rock michigan st.,0.265316435,0.734683565,,michigan st. arkansas little rock,0.734683565,0.265316435
arkansas little rock middle tennessee,0.786109872,0.213890128,,middle tennessee arkansas little rock,0.213890128,0.786109872
arkansas little rock north carolina,0.218520219,0.781479781,,north carolina arkansas little rock,0.781479781,0.218520219
arkansas little rock northern iowa,0.755001112,0.244998888,,northern iowa arkansas little rock,0.244998888,0.755001112
arkansas little rock notre dame,0.395815788,0.604184212,,notre dame arkansas little rock,0.604184212,0.395815788
arkansas little rock oklahoma,0.212747797,0.787252203,,oklahoma arkansas little rock,0.787252203,0.212747797
arkansas little rock oregon,0.179794378,0.820205622,,oregon arkansas little rock,0.820205622,0.179794378
arkansas little rock oregon st.,0.658673061,0.341326939,,oregon st. arkansas little rock,0.341326939,0.658673061
arkansas little rock pittsburgh,0.517170727,0.482829273,,pittsburgh arkansas little rock,0.482829273,0.517170727
arkansas little rock providence,0.596818269,0.403181731,,providence arkansas little rock,0.403181731,0.596818269
arkansas little rock purdue,0.397797217,0.602202783,,purdue arkansas little rock,0.602202783,0.397797217
arkansas little rock south dakota st.,0.757548809,0.242451191,,south dakota st. arkansas little rock,0.242451191,0.757548809
arkansas little rock seton hall,0.343620099,0.656379901,,seton hall arkansas little rock,0.656379901,0.343620099
arkansas little rock stephen f. austin,0.562459107,0.437540893,,stephen f. austin arkansas little rock,0.437540893,0.562459107
arkansas little rock southern,0.944548233,0.055451767,,southern arkansas little rock,0.055451767,0.944548233
arkansas little rock saint joseph's,0.571253403,0.428746597,,saint joseph's arkansas little rock,0.428746597,0.571253403
arkansas little rock stony brook,0.799480099,0.200519901,,stony brook arkansas little rock,0.200519901,0.799480099
arkansas little rock syracuse,0.625778749,0.374221251,,syracuse arkansas little rock,0.374221251,0.625778749
arkansas little rock temple,0.648935346,0.351064654,,temple arkansas little rock,0.351064654,0.648935346
arkansas little rock texas,0.436409965,0.563590035,,texas arkansas little rock,0.563590035,0.436409965
arkansas little rock texas a&m,0.384487199,0.615512801,,texas a&m arkansas little rock,0.615512801,0.384487199
arkansas little rock texas tech,0.483586486,0.516413514,,texas tech arkansas little rock,0.516413514,0.483586486
arkansas little rock tulsa,0.727936252,0.272063748,,tulsa arkansas little rock,0.272063748,0.727936252
arkansas little rock unc asheville,0.881729557,0.118270443,,unc asheville arkansas little rock,0.118270443,0.881729557
arkansas little rock unc wilmington,0.622253649,0.377746351,,unc wilmington arkansas little rock,0.377746351,0.622253649
arkansas little rock usc,0.637711921,0.362288079,,usc arkansas little rock,0.362288079,0.637711921
arkansas little rock utah,0.328312756,0.671687244,,utah arkansas little rock,0.671687244,0.328312756
arkansas little rock vcu,0.669628461,0.330371539,,vcu arkansas little rock,0.330371539,0.669628461
arkansas little rock vanderbilt,0.649847567,0.350152433,,vanderbilt arkansas little rock,0.350152433,0.649847567
arkansas little rock villanova,0.167397499,0.832602501,,villanova arkansas little rock,0.832602501,0.167397499
arkansas little rock virginia,0.173988408,0.826011592,,virginia arkansas little rock,0.826011592,0.173988408
arkansas little rock weber st.,0.831937926,0.168062074,,weber st. arkansas little rock,0.168062074,0.831937926
arkansas little rock west virginia,0.308037972,0.691962028,,west virginia arkansas little rock,0.691962028,0.308037972
arkansas little rock green bay,0.746022331,0.253977669,,green bay arkansas little rock,0.253977669,0.746022331
arkansas little rock wichita st.,0.458581779,0.541418221,,wichita st. arkansas little rock,0.541418221,0.458581779
arkansas little rock wisconsin,0.519164438,0.480835562,,wisconsin arkansas little rock,0.480835562,0.519164438
arkansas little rock xavier,0.343703214,0.656296786,,xavier arkansas little rock,0.656296786,0.343703214
arkansas little rock yale,0.598794135,0.401205865,,yale arkansas little rock,0.401205865,0.598794135
austin peay baylor,0.091462075,0.908537925,,baylor austin peay,0.908537925,0.091462075
austin peay buffalo,0.226062484,0.773937516,,buffalo austin peay,0.773937516,0.226062484
austin peay butler,0.061334357,0.938665643,,butler austin peay,0.938665643,0.061334357
austin peay california,0.117846583,0.882153417,,california austin peay,0.882153417,0.117846583
austin peay chattanooga,0.06995604,0.93004396,,chattanooga austin peay,0.93004396,0.06995604
austin peay cincinnati,0.073781246,0.926218754,,cincinnati austin peay,0.926218754,0.073781246
austin peay colorado,0.122262923,0.877737077,,colorado austin peay,0.877737077,0.122262923
austin peay connecticut,0.062481637,0.937518363,,connecticut austin peay,0.937518363,0.062481637
austin peay cal st. bakersfield,0.249845598,0.750154402,,cal st. bakersfield austin peay,0.750154402,0.249845598
austin peay dayton,0.047161017,0.952838983,,dayton austin peay,0.952838983,0.047161017
austin peay duke,0.051311423,0.948688577,,duke austin peay,0.948688577,0.051311423
austin peay fairleigh dickinson,0.59200028,0.40799972,,fairleigh dickinson austin peay,0.40799972,0.59200028
austin peay florida gulf coast,0.386165407,0.613834593,,florida gulf coast austin peay,0.613834593,0.386165407
austin peay fresno st.,0.112234773,0.887765227,,fresno st. austin peay,0.887765227,0.112234773
austin peay gonzaga,0.054577787,0.945422213,,gonzaga austin peay,0.945422213,0.054577787
austin peay hampton,0.448910423,0.551089577,,hampton austin peay,0.551089577,0.448910423
austin peay hawaii,0.080959454,0.919040546,,hawaii austin peay,0.919040546,0.080959454
austin peay holy cross,0.757232279,0.242767721,,holy cross austin peay,0.242767721,0.757232279
austin peay indiana,0.051788756,0.948211244,,indiana austin peay,0.948211244,0.051788756
austin peay iona,0.157700219,0.842299781,,iona austin peay,0.842299781,0.157700219
austin peay iowa,0.06076336,0.93923664,,iowa austin peay,0.93923664,0.06076336
austin peay iowa st.,0.090277036,0.909722964,,iowa st. austin peay,0.909722964,0.090277036
austin peay kansas,0.023326175,0.976673825,,kansas austin peay,0.976673825,0.023326175
austin peay kentucky,0.046492971,0.953507029,,kentucky austin peay,0.953507029,0.046492971
austin peay maryland,0.04793319,0.95206681,,maryland austin peay,0.95206681,0.04793319
austin peay miami fl,0.032248275,0.967751725,,miami fl austin peay,0.967751725,0.032248275
austin peay michigan,0.067236342,0.932763658,,michigan austin peay,0.932763658,0.067236342
austin peay michigan st.,0.045534004,0.954465996,,michigan st. austin peay,0.954465996,0.045534004
austin peay middle tennessee,0.14559771,0.85440229,,middle tennessee austin peay,0.85440229,0.14559771
austin peay north carolina,0.043322547,0.956677453,,north carolina austin peay,0.956677453,0.043322547
austin peay northern iowa,0.078744798,0.921255202,,northern iowa austin peay,0.921255202,0.078744798
austin peay notre dame,0.050064112,0.949935888,,notre dame austin peay,0.949935888,0.050064112
austin peay oklahoma,0.032874127,0.967125873,,oklahoma austin peay,0.967125873,0.032874127
austin peay oregon,0.026893959,0.973106041,,oregon austin peay,0.973106041,0.026893959
austin peay oregon st.,0.081784628,0.918215372,,oregon st. austin peay,0.918215372,0.081784628
austin peay pittsburgh,0.111854027,0.888145973,,pittsburgh austin peay,0.888145973,0.111854027
austin peay providence,0.056341604,0.943658396,,providence austin peay,0.943658396,0.056341604
austin peay purdue,0.057854883,0.942145117,,purdue austin peay,0.942145117,0.057854883
austin peay south dakota st.,0.168645667,0.831354333,,south dakota st. austin peay,0.831354333,0.168645667
austin peay seton hall,0.047436436,0.952563564,,seton hall austin peay,0.952563564,0.047436436
austin peay stephen f. austin,0.101310533,0.898689467,,stephen f. austin austin peay,0.898689467,0.101310533
austin peay southern,0.516945652,0.483054348,,southern austin peay,0.483054348,0.516945652
austin peay saint joseph's,0.042973026,0.957026974,,saint joseph's austin peay,0.957026974,0.042973026
austin peay stony brook,0.095881243,0.904118757,,stony brook austin peay,0.904118757,0.095881243
austin peay syracuse,0.095278133,0.904721867,,syracuse austin peay,0.904721867,0.095278133
austin peay temple,0.10259629,0.89740371,,temple austin peay,0.89740371,0.10259629
austin peay texas,0.077331321,0.922668679,,texas austin peay,0.922668679,0.077331321
austin peay texas a&m,0.030519053,0.969480947,,texas a&m austin peay,0.969480947,0.030519053
austin peay texas tech,0.062721112,0.937278888,,texas tech austin peay,0.937278888,0.062721112
austin peay tulsa,0.07283838,0.92716162,,tulsa austin peay,0.92716162,0.07283838
austin peay unc asheville,0.251813727,0.748186273,,unc asheville austin peay,0.748186273,0.251813727
austin peay unc wilmington,0.163489114,0.836510886,,unc wilmington austin peay,0.836510886,0.163489114
austin peay usc,0.073321829,0.926678171,,usc austin peay,0.926678171,0.073321829
austin peay utah,0.051319931,0.948680069,,utah austin peay,0.948680069,0.051319931
austin peay vcu,0.145011711,0.854988289,,vcu austin peay,0.854988289,0.145011711
austin peay vanderbilt,0.121628205,0.878371795,,vanderbilt austin peay,0.878371795,0.121628205
austin peay villanova,0.02630812,0.97369188,,villanova austin peay,0.97369188,0.02630812
austin peay virginia,0.045217589,0.954782411,,virginia austin peay,0.954782411,0.045217589
austin peay weber st.,0.297059515,0.702940485,,weber st. austin peay,0.702940485,0.297059515
austin peay west virginia,0.048951249,0.951048751,,west virginia austin peay,0.951048751,0.048951249
austin peay green bay,0.183774041,0.816225959,,green bay austin peay,0.816225959,0.183774041
austin peay wichita st.,0.070958993,0.929041007,,wichita st. austin peay,0.929041007,0.070958993
austin peay wisconsin,0.102616323,0.897383677,,wisconsin austin peay,0.897383677,0.102616323
austin peay xavier,0.023833451,0.976166549,,xavier austin peay,0.976166549,0.023833451
austin peay yale,0.086124912,0.913875088,,yale austin peay,0.913875088,0.086124912
baylor buffalo,0.798944237,0.201055763,,buffalo baylor,0.201055763,0.798944237
baylor butler,0.533548604,0.466451396,,butler baylor,0.466451396,0.533548604
baylor california,0.638714834,0.361285166,,california baylor,0.361285166,0.638714834
baylor chattanooga,0.595412758,0.404587242,,chattanooga baylor,0.404587242,0.595412758
baylor cincinnati,0.664973365,0.335026635,,cincinnati baylor,0.335026635,0.664973365
baylor colorado,0.654563163,0.345436837,,colorado baylor,0.345436837,0.654563163
baylor connecticut,0.529799721,0.470200279,,connecticut baylor,0.470200279,0.529799721
baylor cal st. bakersfield,0.785424863,0.214575137,,cal st. bakersfield baylor,0.214575137,0.785424863
baylor dayton,0.576313109,0.423686891,,dayton baylor,0.423686891,0.576313109
baylor duke,0.440035209,0.559964791,,duke baylor,0.559964791,0.440035209
baylor fairleigh dickinson,0.945906866,0.054093134,,fairleigh dickinson baylor,0.054093134,0.945906866
baylor florida gulf coast,0.899053753,0.100946247,,florida gulf coast baylor,0.100946247,0.899053753
baylor fresno st.,0.700333489,0.299666511,,fresno st. baylor,0.299666511,0.700333489
baylor gonzaga,0.481601059,0.518398941,,gonzaga baylor,0.518398941,0.481601059
baylor hampton,0.872033599,0.127966401,,hampton baylor,0.127966401,0.872033599
baylor hawaii,0.612347474,0.387652526,,hawaii baylor,0.387652526,0.612347474
baylor holy cross,0.966646212,0.033353788,,holy cross baylor,0.033353788,0.966646212
baylor indiana,0.36969234,0.63030766,,indiana baylor,0.63030766,0.36969234
baylor iona,0.674667208,0.325332792,,iona baylor,0.325332792,0.674667208
baylor iowa,0.48877788,0.51122212,,iowa baylor,0.51122212,0.48877788
baylor iowa st.,0.523469441,0.476530559,,iowa st. baylor,0.476530559,0.523469441
baylor kansas,0.168640373,0.831359627,,kansas baylor,0.831359627,0.168640373
baylor kentucky,0.364435309,0.635564691,,kentucky baylor,0.635564691,0.364435309
baylor maryland,0.331464465,0.668535535,,maryland baylor,0.668535535,0.331464465
baylor miami fl,0.269750816,0.730249184,,miami fl baylor,0.730249184,0.269750816
baylor michigan,0.637690805,0.362309195,,michigan baylor,0.362309195,0.637690805
baylor michigan st.,0.38191438,0.61808562,,michigan st. baylor,0.61808562,0.38191438
baylor middle tennessee,0.757863122,0.242136878,,middle tennessee baylor,0.242136878,0.757863122
baylor north carolina,0.292528854,0.707471146,,north carolina baylor,0.707471146,0.292528854
baylor northern iowa,0.667002648,0.332997352,,northern iowa baylor,0.332997352,0.667002648
baylor notre dame,0.473736554,0.526263446,,notre dame baylor,0.526263446,0.473736554
baylor oklahoma,0.2557595,0.7442405,,oklahoma baylor,0.7442405,0.2557595
baylor oregon,0.285649695,0.714350305,,oregon baylor,0.714350305,0.285649695
baylor oregon st.,0.668871861,0.331128139,,oregon st. baylor,0.331128139,0.668871861
baylor pittsburgh,0.526093652,0.473906348,,pittsburgh baylor,0.473906348,0.526093652
baylor providence,0.537112972,0.462887028,,providence baylor,0.462887028,0.537112972
baylor purdue,0.433474404,0.566525596,,purdue baylor,0.566525596,0.433474404
baylor south dakota st.,0.69117545,0.30882455,,south dakota st. baylor,0.30882455,0.69117545
baylor seton hall,0.43984938,0.56015062,,seton hall baylor,0.56015062,0.43984938
baylor stephen f. austin,0.664562396,0.335437604,,stephen f. austin baylor,0.335437604,0.664562396
baylor southern,0.925124481,0.074875519,,southern baylor,0.074875519,0.925124481
baylor saint joseph's,0.548253085,0.451746915,,saint joseph's baylor,0.451746915,0.548253085
baylor stony brook,0.684555951,0.315444049,,stony brook baylor,0.315444049,0.684555951
baylor syracuse,0.61457724,0.38542276,,syracuse baylor,0.38542276,0.61457724
baylor temple,0.647699958,0.352300042,,temple baylor,0.352300042,0.647699958
baylor texas,0.491084437,0.508915563,,texas baylor,0.508915563,0.491084437
baylor texas a&m,0.326732525,0.673267475,,texas a&m baylor,0.673267475,0.326732525
baylor texas tech,0.509124781,0.490875219,,texas tech baylor,0.490875219,0.509124781
baylor tulsa,0.670919759,0.329080241,,tulsa baylor,0.329080241,0.670919759
baylor unc asheville,0.761722905,0.238277095,,unc asheville baylor,0.238277095,0.761722905
baylor unc wilmington,0.684652527,0.315347473,,unc wilmington baylor,0.315347473,0.684652527
baylor usc,0.654381663,0.345618337,,usc baylor,0.345618337,0.654381663
baylor utah,0.305216246,0.694783754,,utah baylor,0.694783754,0.305216246
baylor vcu,0.657759737,0.342240263,,vcu baylor,0.342240263,0.657759737
baylor vanderbilt,0.600927706,0.399072294,,vanderbilt baylor,0.399072294,0.600927706
baylor villanova,0.212504724,0.787495276,,villanova baylor,0.787495276,0.212504724
baylor virginia,0.274592968,0.725407032,,virginia baylor,0.725407032,0.274592968
baylor weber st.,0.827578154,0.172421846,,weber st. baylor,0.172421846,0.827578154
baylor west virginia,0.37878871,0.62121129,,west virginia baylor,0.62121129,0.37878871
baylor green bay,0.781564332,0.218435668,,green bay baylor,0.218435668,0.781564332
baylor wichita st.,0.47276285,0.52723715,,wichita st. baylor,0.52723715,0.47276285
baylor wisconsin,0.50207423,0.49792577,,wisconsin baylor,0.49792577,0.50207423
baylor xavier,0.350523589,0.649476411,,xavier baylor,0.649476411,0.350523589
baylor yale,0.528376095,0.471623905,,yale baylor,0.471623905,0.528376095
buffalo butler,0.166394846,0.833605154,,butler buffalo,0.833605154,0.166394846
buffalo california,0.204697815,0.795302185,,california buffalo,0.795302185,0.204697815
buffalo chattanooga,0.217366844,0.782633156,,chattanooga buffalo,0.782633156,0.217366844
buffalo cincinnati,0.203510313,0.796489687,,cincinnati buffalo,0.796489687,0.203510313
buffalo colorado,0.296360266,0.703639734,,colorado buffalo,0.703639734,0.296360266
buffalo connecticut,0.178672386,0.821327614,,connecticut buffalo,0.821327614,0.178672386
buffalo cal st. bakersfield,0.419885165,0.580114835,,cal st. bakersfield buffalo,0.580114835,0.419885165
buffalo dayton,0.204118976,0.795881024,,dayton buffalo,0.795881024,0.204118976
buffalo duke,0.112340876,0.887659124,,duke buffalo,0.887659124,0.112340876
buffalo fairleigh dickinson,0.73906985,0.26093015,,fairleigh dickinson buffalo,0.26093015,0.73906985
buffalo florida gulf coast,0.69733225,0.30266775,,florida gulf coast buffalo,0.30266775,0.69733225
buffalo fresno st.,0.30495566,0.69504434,,fresno st. buffalo,0.69504434,0.30495566
buffalo gonzaga,0.157444888,0.842555112,,gonzaga buffalo,0.842555112,0.157444888
buffalo hampton,0.657870792,0.342129208,,hampton buffalo,0.342129208,0.657870792
buffalo hawaii,0.195282087,0.804717913,,hawaii buffalo,0.804717913,0.195282087
buffalo holy cross,0.893685407,0.106314593,,holy cross buffalo,0.106314593,0.893685407
buffalo indiana,0.104145757,0.895854243,,indiana buffalo,0.895854243,0.104145757
buffalo iona,0.405776809,0.594223191,,iona buffalo,0.594223191,0.405776809
buffalo iowa,0.161426944,0.838573056,,iowa buffalo,0.838573056,0.161426944
buffalo iowa st.,0.20174007,0.79825993,,iowa st. buffalo,0.79825993,0.20174007
buffalo kansas,0.057941794,0.942058206,,kansas buffalo,0.942058206,0.057941794
buffalo kentucky,0.104574452,0.895425548,,kentucky buffalo,0.895425548,0.104574452
buffalo maryland,0.11468377,0.88531623,,maryland buffalo,0.88531623,0.11468377
buffalo miami fl,0.10004625,0.89995375,,miami fl buffalo,0.89995375,0.10004625
buffalo michigan,0.264033227,0.735966773,,michigan buffalo,0.735966773,0.264033227
buffalo michigan st.,0.091996735,0.908003265,,michigan st. buffalo,0.908003265,0.091996735
buffalo middle tennessee,0.329275227,0.670724773,,middle tennessee buffalo,0.670724773,0.329275227
buffalo north carolina,0.09924812,0.90075188,,north carolina buffalo,0.90075188,0.09924812
buffalo northern iowa,0.262466699,0.737533301,,northern iowa buffalo,0.737533301,0.262466699
buffalo notre dame,0.129868861,0.870131139,,notre dame buffalo,0.870131139,0.129868861
buffalo oklahoma,0.092154172,0.907845828,,oklahoma buffalo,0.907845828,0.092154172
buffalo oregon,0.08360156,0.91639844,,oregon buffalo,0.91639844,0.08360156
buffalo oregon st.,0.190014892,0.809985108,,oregon st. buffalo,0.809985108,0.190014892
buffalo pittsburgh,0.219518461,0.780481539,,pittsburgh buffalo,0.780481539,0.219518461
buffalo providence,0.198233712,0.801766288,,providence buffalo,0.801766288,0.198233712
buffalo purdue,0.161860998,0.838139002,,purdue buffalo,0.838139002,0.161860998
buffalo south dakota st.,0.337745751,0.662254249,,south dakota st. buffalo,0.662254249,0.337745751
buffalo seton hall,0.173653423,0.826346577,,seton hall buffalo,0.826346577,0.173653423
buffalo stephen f. austin,0.225842352,0.774157648,,stephen f. austin buffalo,0.774157648,0.225842352
buffalo southern,0.827285925,0.172714075,,southern buffalo,0.172714075,0.827285925
buffalo saint joseph's,0.191127907,0.808872093,,saint joseph's buffalo,0.808872093,0.191127907
buffalo stony brook,0.296276775,0.703723225,,stony brook buffalo,0.703723225,0.296276775
buffalo syracuse,0.239615221,0.760384779,,syracuse buffalo,0.760384779,0.239615221
buffalo temple,0.283503939,0.716496061,,temple buffalo,0.716496061,0.283503939
buffalo texas,0.200282252,0.799717748,,texas buffalo,0.799717748,0.200282252
buffalo texas a&m,0.100408253,0.899591747,,texas a&m buffalo,0.899591747,0.100408253
buffalo texas tech,0.181844355,0.818155645,,texas tech buffalo,0.818155645,0.181844355
buffalo tulsa,0.279892065,0.720107935,,tulsa buffalo,0.720107935,0.279892065
buffalo unc asheville,0.645719383,0.354280617,,unc asheville buffalo,0.354280617,0.645719383
buffalo unc wilmington,0.321188882,0.678811118,,unc wilmington buffalo,0.678811118,0.321188882
buffalo usc,0.225510515,0.774489485,,usc buffalo,0.774489485,0.225510515
buffalo utah,0.115815506,0.884184494,,utah buffalo,0.884184494,0.115815506
buffalo vcu,0.270743937,0.729256063,,vcu buffalo,0.729256063,0.270743937
buffalo vanderbilt,0.248884162,0.751115838,,vanderbilt buffalo,0.751115838,0.248884162
buffalo villanova,0.047282681,0.952717319,,villanova buffalo,0.952717319,0.047282681
buffalo virginia,0.117718981,0.882281019,,virginia buffalo,0.882281019,0.117718981
buffalo weber st.,0.550921109,0.449078891,,weber st. buffalo,0.449078891,0.550921109
