Team 1 Team 2,Pred1,Pred2,,Team 2 Team 1,Pred2,Pred1
arizona purdue,0.394907449,0.605092551,,purdue arizona,0.605092551,0.394907449
arizona south dakota st.,0.776866407,0.223133593,,south dakota st. arizona,0.223133593,0.776866407
arizona seton hall,0.42032494,0.57967506,,seton hall arizona,0.57967506,0.42032494
arizona stephen f. austin,0.69364876,0.30635124,,stephen f. austin arizona,0.30635124,0.69364876
arizona southern,0.9812535,0.0187465,,southern arizona,0.0187465,0.9812535
arizona saint joseph's,0.426626213,0.573373787,,saint joseph's arizona,0.573373787,0.426626213
arizona stony brook,0.877217296,0.122782704,,stony brook arizona,0.122782704,0.877217296
arizona syracuse,0.505919565,0.494080435,,syracuse arizona,0.494080435,0.505919565
arizona temple,0.705014075,0.294985925,,temple arizona,0.294985925,0.705014075
arizona texas,0.460331496,0.539668504,,texas arizona,0.539668504,0.460331496
arizona texas a&m,0.274254911,0.725745089,,texas a&m arizona,0.725745089,0.274254911
arizona texas tech,0.5885471,0.4114529,,texas tech arizona,0.4114529,0.5885471
arizona tulsa,0.770244501,0.229755499,,tulsa arizona,0.229755499,0.770244501
arizona unc asheville,0.924161947,0.075838053,,unc asheville arizona,0.075838053,0.924161947
arizona unc wilmington,0.735523002,0.264476998,,unc wilmington arizona,0.264476998,0.735523002
arizona usc,0.632051096,0.367948904,,usc arizona,0.367948904,0.632051096
arizona utah,0.254545362,0.745454638,,utah arizona,0.745454638,0.254545362
arizona vcu,0.543565081,0.456434919,,vcu arizona,0.456434919,0.543565081
arizona vanderbilt,0.656549861,0.343450139,,vanderbilt arizona,0.343450139,0.656549861
arizona villanova,0.14396961,0.85603039,,villanova arizona,0.85603039,0.14396961
arizona virginia,0.144368124,0.855631876,,virginia arizona,0.855631876,0.144368124
arizona weber st.,0.913029513,0.086970487,,weber st. arizona,0.086970487,0.913029513
arizona west virginia,0.255901482,0.744098518,,west virginia arizona,0.744098518,0.255901482
arizona green bay,0.796856933,0.203143067,,green bay arizona,0.203143067,0.796856933
arizona wichita st.,0.525111843,0.474888157,,wichita st. arizona,0.474888157,0.525111843
arizona wisconsin,0.473339363,0.526660637,,wisconsin arizona,0.526660637,0.473339363
arizona xavier,0.310384881,0.689615119,,xavier arizona,0.689615119,0.310384881
arizona yale,0.76477621,0.23522379,,yale arizona,0.23522379,0.76477621
arkansas little rock austin peay,0.931098844,0.068901156,,austin peay arkansas little rock,0.068901156,0.931098844
arkansas little rock baylor,0.341579564,0.658420436,,baylor arkansas little rock,0.658420436,0.341579564
arkansas little rock buffalo,0.806848787,0.193151213,,buffalo arkansas little rock,0.193151213,0.806848787
arkansas little rock butler,0.519948093,0.480051907,,butler arkansas little rock,0.480051907,0.519948093
arkansas little rock california,0.481122994,0.518877006,,california arkansas little rock,0.518877006,0.481122994
arkansas little rock chattanooga,0.653477122,0.346522878,,chattanooga arkansas little rock,0.346522878,0.653477122
arkansas little rock cincinnati,0.66415889,0.33584111,,cincinnati arkansas little rock,0.33584111,0.66415889
arkansas little rock colorado,0.54453923,0.45546077,,colorado arkansas little rock,0.45546077,0.54453923
arkansas little rock connecticut,0.402232317,0.597767683,,connecticut arkansas little rock,0.597767683,0.402232317
arkansas little rock cal st. bakersfield,0.859240373,0.140759627,,cal st. bakersfield arkansas little rock,0.140759627,0.859240373
arkansas little rock dayton,0.588968995,0.411031005,,dayton arkansas little rock,0.411031005,0.588968995
arkansas little rock duke,0.230336301,0.769663699,,duke arkansas little rock,0.769663699,0.230336301
arkansas little rock fairleigh dickinson,0.984741723,0.015258277,,fairleigh dickinson arkansas little rock,0.015258277,0.984741723
arkansas little rock florida gulf coast,0.912235512,0.087764488,,florida gulf coast arkansas little rock,0.087764488,0.912235512
arkansas little rock fresno st.,0.668418625,0.331581375,,fresno st. arkansas little rock,0.331581375,0.668418625
arkansas little rock gonzaga,0.372287517,0.627712483,,gonzaga arkansas little rock,0.627712483,0.372287517
arkansas little rock hampton,0.973288365,0.026711635,,hampton arkansas little rock,0.026711635,0.973288365
arkansas little rock hawaii,0.652933711,0.347066289,,hawaii arkansas little rock,0.347066289,0.652933711
arkansas little rock holy cross,0.974756928,0.025243072,,holy cross arkansas little rock,0.025243072,0.974756928
arkansas little rock indiana,0.305672034,0.694327966,,indiana arkansas little rock,0.694327966,0.305672034
arkansas little rock iona,0.839077368,0.160922632,,iona arkansas little rock,0.160922632,0.839077368
arkansas little rock iowa,0.507121811,0.492878189,,iowa arkansas little rock,0.492878189,0.507121811
arkansas little rock iowa st.,0.32753626,0.67246374,,iowa st. arkansas little rock,0.67246374,0.32753626
arkansas little rock kansas,0.069361623,0.930638377,,kansas arkansas little rock,0.930638377,0.069361623
arkansas little rock kentucky,0.188476093,0.811523907,,kentucky arkansas little rock,0.811523907,0.188476093
arkansas little rock maryland,0.288751352,0.711248648,,maryland arkansas little rock,0.711248648,0.288751352
arkansas little rock miami fl,0.177797914,0.822202086,,miami fl arkansas little rock,0.822202086,0.177797914
arkansas little rock michigan,0.425069921,0.574930079,,michigan arkansas little rock,0.574930079,0.425069921
arkansas little rock michigan st.,0.180024787,0.819975213,,michigan st. arkansas little rock,0.819975213,0.180024787
arkansas little rock middle tennessee,0.734338861,0.265661139,,middle tennessee arkansas little rock,0.265661139,0.734338861
arkansas little rock north carolina,0.104956378,0.895043622,,north carolina arkansas little rock,0.895043622,0.104956378
arkansas little rock northern iowa,0.548945577,0.451054423,,northern iowa arkansas little rock,0.451054423,0.548945577
arkansas little rock notre dame,0.319692806,0.680307194,,notre dame arkansas little rock,0.680307194,0.319692806
arkansas little rock oklahoma,0.191994978,0.808005022,,oklahoma arkansas little rock,0.808005022,0.191994978
arkansas little rock oregon,0.158143739,0.841856261,,oregon arkansas little rock,0.841856261,0.158143739
arkansas little rock oregon st.,0.600687054,0.399312946,,oregon st. arkansas little rock,0.399312946,0.600687054
arkansas little rock pittsburgh,0.515389855,0.484610145,,pittsburgh arkansas little rock,0.484610145,0.515389855
arkansas little rock providence,0.352097956,0.647902044,,providence arkansas little rock,0.647902044,0.352097956
arkansas little rock purdue,0.329095573,0.670904427,,purdue arkansas little rock,0.670904427,0.329095573
arkansas little rock south dakota st.,0.722231721,0.277768279,,south dakota st. arkansas little rock,0.277768279,0.722231721
arkansas little rock seton hall,0.355493463,0.644506537,,seton hall arkansas little rock,0.644506537,0.355493463
arkansas little rock stephen f. austin,0.643821454,0.356178546,,stephen f. austin arkansas little rock,0.356178546,0.643821454
arkansas little rock southern,0.964578835,0.035421165,,southern arkansas little rock,0.035421165,0.964578835
arkansas little rock saint joseph's,0.378131935,0.621868065,,saint joseph's arkansas little rock,0.621868065,0.378131935
arkansas little rock stony brook,0.824717571,0.175282429,,stony brook arkansas little rock,0.175282429,0.824717571
arkansas little rock syracuse,0.457573444,0.542426556,,syracuse arkansas little rock,0.542426556,0.457573444
arkansas little rock temple,0.643417514,0.356582486,,temple arkansas little rock,0.356582486,0.643417514
arkansas little rock texas,0.393467009,0.606532991,,texas arkansas little rock,0.606532991,0.393467009
arkansas little rock texas a&m,0.233087774,0.766912226,,texas a&m arkansas little rock,0.766912226,0.233087774
arkansas little rock texas tech,0.524465973,0.475534027,,texas tech arkansas little rock,0.475534027,0.524465973
arkansas little rock tulsa,0.748827087,0.251172913,,tulsa arkansas little rock,0.251172913,0.748827087
arkansas little rock unc asheville,0.883604136,0.116395864,,unc asheville arkansas little rock,0.116395864,0.883604136
arkansas little rock unc wilmington,0.684760559,0.315239441,,unc wilmington arkansas little rock,0.315239441,0.684760559
arkansas little rock usc,0.594249655,0.405750345,,usc arkansas little rock,0.405750345,0.594249655
arkansas little rock utah,0.222945417,0.777054583,,utah arkansas little rock,0.777054583,0.222945417
arkansas little rock vcu,0.516413327,0.483586673,,vcu arkansas little rock,0.483586673,0.516413327
arkansas little rock vanderbilt,0.633985964,0.366014036,,vanderbilt arkansas little rock,0.366014036,0.633985964
arkansas little rock villanova,0.098140798,0.901859202,,villanova arkansas little rock,0.901859202,0.098140798
arkansas little rock virginia,0.087355508,0.912644492,,virginia arkansas little rock,0.912644492,0.087355508
arkansas little rock weber st.,0.854415192,0.145584808,,weber st. arkansas little rock,0.145584808,0.854415192
arkansas little rock west virginia,0.195805604,0.804194396,,west virginia arkansas little rock,0.804194396,0.195805604
arkansas little rock green bay,0.731631969,0.268368031,,green bay arkansas little rock,0.268368031,0.731631969
arkansas little rock wichita st.,0.472316672,0.527683328,,wichita st. arkansas little rock,0.527683328,0.472316672
arkansas little rock wisconsin,0.424980069,0.575019931,,wisconsin arkansas little rock,0.575019931,0.424980069
arkansas little rock xavier,0.259298445,0.740701555,,xavier arkansas little rock,0.740701555,0.259298445
arkansas little rock yale,0.736611353,0.263388647,,yale arkansas little rock,0.263388647,0.736611353
austin peay baylor,0.033801677,0.966198323,,baylor austin peay,0.966198323,0.033801677
austin peay buffalo,0.290533738,0.709466262,,buffalo austin peay,0.709466262,0.290533738
austin peay butler,0.068743186,0.931256814,,butler austin peay,0.931256814,0.068743186
austin peay california,0.065667527,0.934332473,,california austin peay,0.934332473,0.065667527
austin peay chattanooga,0.157310458,0.842689542,,chattanooga austin peay,0.842689542,0.157310458
austin peay cincinnati,0.147283846,0.852716154,,cincinnati austin peay,0.852716154,0.147283846
austin peay colorado,0.114657704,0.885342296,,colorado austin peay,0.885342296,0.114657704
austin peay connecticut,0.047154464,0.952845536,,connecticut austin peay,0.952845536,0.047154464
austin peay cal st. bakersfield,0.49570635,0.50429365,,cal st. bakersfield austin peay,0.50429365,0.49570635
austin peay dayton,0.159042626,0.840957374,,dayton austin peay,0.840957374,0.159042626
austin peay duke,0.016249379,0.983750621,,duke austin peay,0.983750621,0.016249379
austin peay fairleigh dickinson,0.837153006,0.162846994,,fairleigh dickinson austin peay,0.162846994,0.837153006
austin peay florida gulf coast,0.561853518,0.438146482,,florida gulf coast austin peay,0.438146482,0.561853518
austin peay fresno st.,0.173807333,0.826192667,,fresno st. austin peay,0.826192667,0.173807333
austin peay gonzaga,0.029680946,0.970319054,,gonzaga austin peay,0.970319054,0.029680946
austin peay hampton,0.714446155,0.285553845,,hampton austin peay,0.285553845,0.714446155
austin peay hawaii,0.188766474,0.811233526,,hawaii austin peay,0.811233526,0.188766474
austin peay holy cross,0.75243743,0.24756257,,holy cross austin peay,0.24756257,0.75243743
austin peay indiana,0.01719678,0.98280322,,indiana austin peay,0.98280322,0.01719678
austin peay iona,0.420605802,0.579394198,,iona austin peay,0.579394198,0.420605802
austin peay iowa,0.065285472,0.934714528,,iowa austin peay,0.934714528,0.065285472
austin peay iowa st.,0.021650859,0.978349141,,iowa st. austin peay,0.978349141,0.021650859
austin peay kansas,0.006078548,0.993921452,,kansas austin peay,0.993921452,0.006078548
austin peay kentucky,0.011434205,0.988565795,,kentucky austin peay,0.988565795,0.011434205
austin peay maryland,0.024463099,0.975536901,,maryland austin peay,0.975536901,0.024463099
austin peay miami fl,0.01425477,0.98574523,,miami fl austin peay,0.98574523,0.01425477
austin peay michigan,0.059045507,0.940954493,,michigan austin peay,0.940954493,0.059045507
austin peay michigan st.,0.009569675,0.990430325,,michigan st. austin peay,0.990430325,0.009569675
austin peay middle tennessee,0.212977521,0.787022479,,middle tennessee austin peay,0.787022479,0.212977521
austin peay north carolina,0.006725287,0.993274713,,north carolina austin peay,0.993274713,0.006725287
austin peay northern iowa,0.135484525,0.864515475,,northern iowa austin peay,0.864515475,0.135484525
austin peay notre dame,0.031804334,0.968195666,,notre dame austin peay,0.968195666,0.031804334
austin peay oklahoma,0.014808544,0.985191456,,oklahoma austin peay,0.985191456,0.014808544
austin peay oregon,0.010560313,0.989439687,,oregon austin peay,0.989439687,0.010560313
austin peay oregon st.,0.171659089,0.828340911,,oregon st. austin peay,0.828340911,0.171659089
austin peay pittsburgh,0.071637797,0.928362203,,pittsburgh austin peay,0.928362203,0.071637797
austin peay providence,0.058410453,0.941589547,,providence austin peay,0.941589547,0.058410453
austin peay purdue,0.022489766,0.977510234,,purdue austin peay,0.977510234,0.022489766
austin peay south dakota st.,0.210849391,0.789150609,,south dakota st. austin peay,0.789150609,0.210849391
austin peay seton hall,0.044915225,0.955084775,,seton hall austin peay,0.955084775,0.044915225
austin peay stephen f. austin,0.111730951,0.888269049,,stephen f. austin austin peay,0.888269049,0.111730951
austin peay southern,0.75946337,0.24053663,,southern austin peay,0.24053663,0.75946337
austin peay saint joseph's,0.044292027,0.955707973,,saint joseph's austin peay,0.955707973,0.044292027
austin peay stony brook,0.330813703,0.669186297,,stony brook austin peay,0.669186297,0.330813703
austin peay syracuse,0.062566786,0.937433214,,syracuse austin peay,0.937433214,0.062566786
austin peay temple,0.191115233,0.808884767,,temple austin peay,0.808884767,0.191115233
austin peay texas,0.066429114,0.933570886,,texas austin peay,0.933570886,0.066429114
austin peay texas a&m,0.019988725,0.980011275,,texas a&m austin peay,0.980011275,0.019988725
austin peay texas tech,0.113581478,0.886418522,,texas tech austin peay,0.886418522,0.113581478
austin peay tulsa,0.244491702,0.755508298,,tulsa austin peay,0.755508298,0.244491702
austin peay unc asheville,0.498433833,0.501566167,,unc asheville austin peay,0.501566167,0.498433833
austin peay unc wilmington,0.189093594,0.810906406,,unc wilmington austin peay,0.810906406,0.189093594
austin peay usc,0.114516917,0.885483083,,usc austin peay,0.885483083,0.114516917
austin peay utah,0.027643201,0.972356799,,utah austin peay,0.972356799,0.027643201
austin peay vcu,0.080267506,0.919732494,,vcu austin peay,0.919732494,0.080267506
austin peay vanderbilt,0.127462424,0.872537576,,vanderbilt austin peay,0.872537576,0.127462424
austin peay villanova,0.007031564,0.992968436,,villanova austin peay,0.992968436,0.007031564
austin peay virginia,0.006707757,0.993292243,,virginia austin peay,0.993292243,0.006707757
austin peay weber st.,0.438106004,0.561893996,,weber st. austin peay,0.561893996,0.438106004
austin peay west virginia,0.018507028,0.981492972,,west virginia austin peay,0.981492972,0.018507028
austin peay green bay,0.251045368,0.748954632,,green bay austin peay,0.748954632,0.251045368
austin peay wichita st.,0.059277895,0.940722105,,wichita st. austin peay,0.940722105,0.059277895
austin peay wisconsin,0.065594659,0.934405341,,wisconsin austin peay,0.934405341,0.065594659
austin peay xavier,0.021165288,0.978834712,,xavier austin peay,0.978834712,0.021165288
austin peay yale,0.257420244,0.742579756,,yale austin peay,0.742579756,0.257420244
baylor buffalo,0.889452575,0.110547425,,buffalo baylor,0.110547425,0.889452575
baylor butler,0.667101008,0.332898992,,butler baylor,0.332898992,0.667101008
baylor california,0.612879317,0.387120683,,california baylor,0.387120683,0.612879317
baylor chattanooga,0.812514904,0.187485096,,chattanooga baylor,0.187485096,0.812514904
baylor cincinnati,0.763331058,0.236668942,,cincinnati baylor,0.236668942,0.763331058
baylor colorado,0.680091632,0.319908368,,colorado baylor,0.319908368,0.680091632
baylor connecticut,0.526575989,0.473424011,,connecticut baylor,0.473424011,0.526575989
baylor cal st. bakersfield,0.912502168,0.087497832,,cal st. bakersfield baylor,0.087497832,0.912502168
baylor dayton,0.744528732,0.255471268,,dayton baylor,0.255471268,0.744528732
baylor duke,0.368760912,0.631239088,,duke baylor,0.631239088,0.368760912
baylor fairleigh dickinson,0.990606632,0.009393368,,fairleigh dickinson baylor,0.009393368,0.990606632
baylor florida gulf coast,0.954147056,0.045852944,,florida gulf coast baylor,0.045852944,0.954147056
baylor fresno st.,0.806525271,0.193474729,,fresno st. baylor,0.193474729,0.806525271
baylor gonzaga,0.522262214,0.477737786,,gonzaga baylor,0.477737786,0.522262214
baylor hampton,0.984955371,0.015044629,,hampton baylor,0.015044629,0.984955371
baylor hawaii,0.77737163,0.22262837,,hawaii baylor,0.22262837,0.77737163
baylor holy cross,0.989166934,0.010833066,,holy cross baylor,0.010833066,0.989166934
baylor indiana,0.452268489,0.547731511,,indiana baylor,0.547731511,0.452268489
baylor iona,0.901892619,0.098107381,,iona baylor,0.098107381,0.901892619
baylor iowa,0.635413247,0.364586753,,iowa baylor,0.364586753,0.635413247
baylor iowa st.,0.477730333,0.522269667,,iowa st. baylor,0.522269667,0.477730333
baylor kansas,0.125691017,0.874308983,,kansas baylor,0.874308983,0.125691017
baylor kentucky,0.318091014,0.681908986,,kentucky baylor,0.681908986,0.318091014
baylor maryland,0.42355864,0.57644136,,maryland baylor,0.57644136,0.42355864
baylor miami fl,0.278791089,0.721208911,,miami fl baylor,0.721208911,0.278791089
baylor michigan,0.556448298,0.443551702,,michigan baylor,0.443551702,0.556448298
baylor michigan st.,0.327426414,0.672573586,,michigan st. baylor,0.672573586,0.327426414
baylor middle tennessee,0.85956387,0.14043613,,middle tennessee baylor,0.14043613,0.85956387
baylor north carolina,0.201125348,0.798874652,,north carolina baylor,0.798874652,0.201125348
baylor northern iowa,0.677521786,0.322478214,,northern iowa baylor,0.322478214,0.677521786
baylor notre dame,0.473064207,0.526935793,,notre dame baylor,0.526935793,0.473064207
baylor oklahoma,0.316583536,0.683416464,,oklahoma baylor,0.683416464,0.316583536
baylor oregon,0.258853855,0.741146145,,oregon baylor,0.741146145,0.258853855
baylor oregon st.,0.741456605,0.258543395,,oregon st. baylor,0.258543395,0.741456605
baylor pittsburgh,0.633296776,0.366703224,,pittsburgh baylor,0.366703224,0.633296776
baylor providence,0.485686114,0.514313886,,providence baylor,0.514313886,0.485686114
baylor purdue,0.463595588,0.536404412,,purdue baylor,0.536404412,0.463595588
baylor south dakota st.,0.820369969,0.179630031,,south dakota st. baylor,0.179630031,0.820369969
baylor seton hall,0.501779281,0.498220719,,seton hall baylor,0.498220719,0.501779281
baylor stephen f. austin,0.779232457,0.220767543,,stephen f. austin baylor,0.220767543,0.779232457
baylor southern,0.981142559,0.018857441,,southern baylor,0.018857441,0.981142559
baylor saint joseph's,0.519546535,0.480453465,,saint joseph's baylor,0.480453465,0.519546535
baylor stony brook,0.90745375,0.09254625,,stony brook baylor,0.09254625,0.90745375
baylor syracuse,0.584577282,0.415422718,,syracuse baylor,0.415422718,0.584577282
baylor temple,0.786907358,0.213092642,,temple baylor,0.213092642,0.786907358
baylor texas,0.558018372,0.441981628,,texas baylor,0.441981628,0.558018372
baylor texas a&m,0.347041066,0.652958934,,texas a&m baylor,0.652958934,0.347041066
baylor texas tech,0.674265001,0.325734999,,texas tech baylor,0.325734999,0.674265001
baylor tulsa,0.817562264,0.182437736,,tulsa baylor,0.182437736,0.817562264
baylor unc asheville,0.931984124,0.068015876,,unc asheville baylor,0.068015876,0.931984124
baylor unc wilmington,0.808495944,0.191504056,,unc wilmington baylor,0.191504056,0.808495944
baylor usc,0.707641427,0.292358573,,usc baylor,0.292358573,0.707641427
baylor utah,0.323744111,0.676255889,,utah baylor,0.676255889,0.323744111
baylor vcu,0.622376004,0.377623996,,vcu baylor,0.377623996,0.622376004
baylor vanderbilt,0.698848468,0.301151532,,vanderbilt baylor,0.301151532,0.698848468
baylor villanova,0.1849576,0.8150424,,villanova baylor,0.8150424,0.1849576
baylor virginia,0.181001248,0.818998752,,virginia baylor,0.818998752,0.181001248
baylor weber st.,0.925609789,0.074390211,,weber st. baylor,0.074390211,0.925609789
baylor west virginia,0.308651495,0.691348505,,west virginia baylor,0.691348505,0.308651495
baylor green bay,0.834919596,0.165080404,,green bay baylor,0.165080404,0.834919596
baylor wichita st.,0.58421312,0.41578688,,wichita st. baylor,0.41578688,0.58421312
baylor wisconsin,0.559781127,0.440218873,,wisconsin baylor,0.440218873,0.559781127
baylor xavier,0.394276078,0.605723922,,xavier baylor,0.605723922,0.394276078
baylor yale,0.831771136,0.168228864,,yale baylor,0.168228864,0.831771136
buffalo butler,0.212836265,0.787163735,,butler buffalo,0.787163735,0.212836265
buffalo california,0.187612955,0.812387045,,california buffalo,0.812387045,0.187612955
buffalo chattanooga,0.33686081,0.66313919,,chattanooga buffalo,0.66313919,0.33686081
buffalo cincinnati,0.36769274,0.63230726,,cincinnati buffalo,0.63230726,0.36769274
buffalo colorado,0.245430051,0.754569949,,colorado buffalo,0.754569949,0.245430051
buffalo connecticut,0.140918081,0.859081919,,connecticut buffalo,0.859081919,0.140918081
buffalo cal st. bakersfield,0.68595377,0.31404623,,cal st. bakersfield buffalo,0.31404623,0.68595377
buffalo dayton,0.303775335,0.696224665,,dayton buffalo,0.696224665,0.303775335
buffalo duke,0.051045061,0.948954939,,duke buffalo,0.948954939,0.051045061
buffalo fairleigh dickinson,0.910582785,0.089417215,,fairleigh dickinson buffalo,0.089417215,0.910582785
buffalo florida gulf coast,0.727935433,0.272064567,,florida gulf coast buffalo,0.272064567,0.727935433
buffalo fresno st.,0.356708491,0.643291509,,fresno st. buffalo,0.643291509,0.356708491
buffalo gonzaga,0.093339738,0.906660262,,gonzaga buffalo,0.906660262,0.093339738
buffalo hampton,0.85827904,0.14172096,,hampton buffalo,0.14172096,0.85827904
buffalo hawaii,0.409374214,0.590625786,,hawaii buffalo,0.590625786,0.409374214
buffalo holy cross,0.856780167,0.143219833,,holy cross buffalo,0.143219833,0.856780167
buffalo indiana,0.059300695,0.940699305,,indiana buffalo,0.940699305,0.059300695
buffalo iona,0.654910035,0.345089965,,iona buffalo,0.345089965,0.654910035
buffalo iowa,0.200448968,0.799551032,,iowa buffalo,0.799551032,0.200448968
buffalo iowa st.,0.075898324,0.924101676,,iowa st. buffalo,0.924101676,0.075898324
buffalo kansas,0.012069712,0.987930288,,kansas buffalo,0.987930288,0.012069712
buffalo kentucky,0.033933291,0.966066709,,kentucky buffalo,0.966066709,0.033933291
buffalo maryland,0.077299912,0.922700088,,maryland buffalo,0.922700088,0.077299912
buffalo miami fl,0.039748859,0.960251141,,miami fl buffalo,0.960251141,0.039748859
buffalo michigan,0.155759284,0.844240716,,michigan buffalo,0.844240716,0.155759284
buffalo michigan st.,0.026868916,0.973131084,,michigan st. buffalo,0.973131084,0.026868916
buffalo middle tennessee,0.415132698,0.584867302,,middle tennessee buffalo,0.584867302,0.415132698
buffalo north carolina,0.015695407,0.984304593,,north carolina buffalo,0.984304593,0.015695407
buffalo northern iowa,0.263258907,0.736741093,,northern iowa buffalo,0.736741093,0.263258907
buffalo notre dame,0.095948953,0.904051047,,notre dame buffalo,0.904051047,0.095948953
buffalo oklahoma,0.042547812,0.957452188,,oklahoma buffalo,0.957452188,0.042547812
buffalo oregon,0.029662002,0.970337998,,oregon buffalo,0.970337998,0.029662002
buffalo oregon st.,0.338694939,0.661305061,,oregon st. buffalo,0.661305061,0.338694939
buffalo pittsburgh,0.199849761,0.800150239,,pittsburgh buffalo,0.800150239,0.199849761
buffalo providence,0.134204939,0.865795061,,providence buffalo,0.865795061,0.134204939
buffalo purdue,0.078091578,0.921908422,,purdue buffalo,0.921908422,0.078091578
buffalo south dakota st.,0.444204828,0.555795172,,south dakota st. buffalo,0.555795172,0.444204828
buffalo seton hall,0.126779109,0.873220891,,seton hall buffalo,0.873220891,0.126779109
buffalo stephen f. austin,0.309983044,0.690016956,,stephen f. austin buffalo,0.690016956,0.309983044
buffalo southern,0.845788032,0.154211968,,southern buffalo,0.154211968,0.845788032
buffalo saint joseph's,0.122424761,0.877575239,,saint joseph's buffalo,0.877575239,0.122424761
buffalo stony brook,0.591944703,0.408055297,,stony brook buffalo,0.408055297,0.591944703
buffalo syracuse,0.181811454,0.818188546,,syracuse buffalo,0.818188546,0.181811454
buffalo temple,0.349751021,0.650248979,,temple buffalo,0.650248979,0.349751021
buffalo texas,0.178859896,0.821140104,,texas buffalo,0.821140104,0.178859896
buffalo texas a&m,0.058377527,0.941622473,,texas a&m buffalo,0.941622473,0.058377527
buffalo texas tech,0.265809652,0.734190348,,texas tech buffalo,0.734190348,0.265809652
buffalo tulsa,0.465292115,0.534707885,,tulsa buffalo,0.534707885,0.465292115
buffalo unc asheville,0.69932999,0.30067001,,unc asheville buffalo,0.30067001,0.69932999
buffalo unc wilmington,0.412810945,0.587189055,,unc wilmington buffalo,0.587189055,0.412810945
buffalo usc,0.279039297,0.720960703,,usc buffalo,0.720960703,0.279039297
buffalo utah,0.072184608,0.927815392,,utah buffalo,0.927815392,0.072184608
buffalo vcu,0.217333442,0.782666558,,vcu buffalo,0.782666558,0.217333442
buffalo vanderbilt,0.312125972,0.687874028,,vanderbilt buffalo,0.687874028,0.312125972
buffalo villanova,0.01603444,0.98396556,,villanova buffalo,0.98396556,0.01603444
buffalo virginia,0.015778401,0.984221599,,virginia buffalo,0.984221599,0.015778401
buffalo weber st.,0.645049511,0.354950489,,weber st. buffalo,0.354950489,0.645049511
